Year,Boys Participants,Girls Participants,Total
1971,3666917,294015,3960932
1972,3770621,817073,4587694
1973,4070125,1300169,5370294
1975,4109021,1645039,5754060
1977,4367442,2083040,6450482
1978,3709512,1854400,5563912
1979,3517829,1750264,5268093
1980,3503124,1853789,5356913
1981,3409081,1810671,5219752
1982,3355558,1779972,5135530
1983,3303599,1747346,5050945
1984,3354284,1757884,5112168
1985,3344275,1807121,5151396
1986,3364082,1836356,5200438
1987,3425777,1849684,5275461
1988,3416844,1839352,5256196
1989,3398192,1858659,5256851
1990,3406355,1892316,5298671
1991,3429853,1940801,5370654
1992,3416389,1997489,5413878
1993,3472967,2130315,5603282
1994,3536359,2240461,5776820
1995,3634052,2367936,6001988
1996,3706225,2474043,6180268
1997,3763120,2570333,6333453
1998,3832352,2652726,6485078
1999,3861749,2675874,6537623
2000,3921069,2784154,6705223
2001,3960517,2806998,6767515
2002,3988738,2856358,6845096
2003,4038253,2865299,6903552
2004,4110319,2908390,7018709
2005,4206549,2953355,7159904
2006,4321103,3021807,7342910
2007,4372115,3057266,7429381
2008,4422662,3114091,7536753
2009,4455740,3172637,7628377
2010,4494406,3173549,7667955
2011,4484987,3207533,7692520
2012,4490854,3222723,7713577
2013,4527994,3267664,7795658
2014,4519312,3287735,7807047
2015,4541959,3324306,7866265
2016,4563238,3400297,7963535
2017,4565580,3415306,7980886
2018,4534758,3402733,7937491
2021,4376582,3241472,7618054
2022,4529795,3318184,7851833
2023,4638785,3423517,8062302
