Sport,Schools,Participants,Gender
Basketball,18587,536668,Boys
Track and Field – Outdoor,17274,625333,Boys
Baseball,16146,471701,Boys
Cross Country,15511,239381,Boys
Golf,14055,155174,Boys
Football – 11-Player,13788,1031508,Boys
Soccer,12754,467483,Boys
Wrestling,11149,291874,Boys
Tennis,10175,157835,Boys
Swimming & Diving,7855,116799,Boys
Basketball,18090,367284,Girls
Track and Field – Outdoor,17267,506015,Girls
Volleyball,16849,479125,Girls
Softball – Fast Pitch,15635,345451,Girls
Cross Country,15228,192969,Girls
Soccer,12307,383895,Girls
Golf,11089,138174,Girls
Tennis,10645,195766,Girls
Swimming & Diving,8133,138174,Girls
Competitive Spirit,7827,101204,Girls
