State,Boys,Girls,Total
Texas,505386,353915,859301
California,470493,363610,834103
New York,187226,154228,341454
Pennsylvania,177234,159712,336946
Illinois,186844,133759,320603
Ohio,186139,126978,313117
Florida,168182,131216,299398
Michigan,169533,120207,289740
New Jersey,161692,119106,280798
Minnesota,122738,101441,224179
Massachusetts,126023,95119,221142
Georgia,124827,86548,211375
North Carolina,117611,71626,189237
Wisconsin,107419,73121,180540
Virginia,103466,74960,178426
Alabama,104720,69407,174127
Washington,98417,74062,172479
Missouri,100094,71598,171692
Indiana,94893,65352,160245
Iowa,80319,56897,137216
Colorado,77579,58807,136386
Arizona,75794,57242,133036
Mississippi,70728,53593,124321
Maryland,69577,54719,124296
Tennessee,73608,43189,116797
Kansas,62045,50006,112051
Kentucky,59302,52318,111620
Connecticut,60215,48012,108227
Oklahoma,61203,46118,107321
Oregon,59268,45238,104506
Louisiana,65566,37802,103368
South Carolina,63269,35214,98483
Arkansas,52341,40337,92678
Utah,48396,36021,84417
Nebraska,47205,33622,80827
Idaho,31497,23181,54678
New Mexico,29435,22361,51796
Maine,25227,20265,45492
Nevada,26081,17578,43659
New Hampshire,23184,19047,42231
West Virginia,21738,15204,36942
Hawaii,20331,14894,35225
Montana,18923,14821,33744
Rhode Island,19179,14331,33510
South Dakota,17708,14399,32107
North Dakota,16708,12383,29091
Delaware,14795,11170,25965
Wyoming,12105,9108,21213
Alaska,9656,9184,18840
District of Columbia,7252,6062,13314
Vermont,5614,4429,10043
